"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"Fortnite","1","Fortnite","7103470440","363751620","862789","17082","741423","159342","8159","19.53","Fortnite"
"League of Legends","2","League of Legends","5329221780","95388600","362400","3212","147060","119542","2139","55.87","League of Legends"
"PLAYERUNKNOWN'S BATTLEGROUNDS","3","PLAYERUNKNOWN'S BATTLEGROUNDS","2826355500","120484380","325535","4278","210438","63399","2702","23.46","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Dota 2","4","Dota 2","2406623640","25281600","397940","1473","34579","53984","567","95.19","Dota 2"
"Overwatch","5","Overwatch","1923218880","59505120","239954","2852","135198","43140","1334","32.32","Overwatch"
"IRL","6","IRL","1901360940","29128200","134195","998","83712","42650","653","65.28","IRL"
"Counter-Strike: Global Offensive","7","Counter-Strike: Global Offensive","1684693560","47402280","490657","2336","121083","37790","1063","35.54","Counter-Strike: Global Offensive"
"Hearthstone","8","Hearthstone","1684453440","11388720","149880","399","26716","37784","255","147.91","Hearthstone"
"Sea of Thieves","9","Sea of Thieves","934015560","32591880","255998","4908","66327","20951","731","28.66","Sea of Thieves"
"World of Warcraft","10","World of Warcraft","678203100","37694520","56918","2139","48940","15213","845","17.99","World of Warcraft"
"Grand Theft Auto V","11","Grand Theft Auto V","626155080","19115160","50916","920","47821","14045","428","32.76","Grand Theft Auto V"
"Far Cry 5","12","Far Cry 5","613083180","11496480","258270","2864","46193","13752","257","53.33","Far Cry 5"
"Tom Clancy's Rainbow Six: Siege","13","Tom Clancy's Rainbow Six: Siege","565220040","42012780","54414","2490","119029","12678","942","13.45","Tom Clancy's Rainbow Six: Siege"
"Path of Exile","14","Path of Exile","523972800","13943820","59007","1813","14567","11753","312","37.58","Path of Exile"
"StarCraft II","15","StarCraft II","500208840","4691220","60745","193","7480","11220","105","106.63","StarCraft II"
"Rocket League","16","Rocket League","331840440","12309660","96377","565","53875","7443","276","26.96","Rocket League"
"RuneScape","17","RuneScape","327712560","7143660","74563","267","9889","7351","160","45.87","RuneScape"
"A Way Out","18","A Way Out","325389720","5382300","233484","1587","21244","7299","120","60.46","A Way Out"
"Heroes of the Storm","19","Heroes of the Storm","320279580","8323740","48779","314","13757","7184","186","38.48","Heroes of the Storm"
"Talk Shows & Podcasts","20","Talk Shows & Podcasts","304889400","2653620","77922","381","9049","6839","59","114.9","Talk Shows & Podcasts"
"Warhammer: Vermintide 2","21","Warhammer: Vermintide 2","279041700","11608920","77418","854","24407","6259","260","24.04","Warhammer: Vermintide 2"
"FIFA 18","22","FIFA 18","277345380","9659580","37994","646","32105","6221","216","28.71","FIFA 18"
"Creative","23","Creative","267101220","17895660","21502","659","33251","5991","401","14.93","Creative"
"Music & Performing Arts","24","Music & Performing Arts","261401280","8096100","14313","249","9143","5863","181","32.29","Music & Performing Arts"
"Dead by Daylight","25","Dead by Daylight","245760480","12748080","16458","470","21545","5512","285","19.28","Dead by Daylight"
"Casino_old","26","Casino_old","223929300","1298460","23349","60","1108","5023","29","172.46","Casino_old"
"Minecraft","27","Minecraft","217608480","13471200","30679","596","39153","4881","302","16.15","Minecraft"
"Black Desert Online","28","Black Desert Online","210538380","8646120","12125","272","9853","4722","193","24.35","Black Desert Online"
"World of Tanks","29","World of Tanks","207307080","8057580","62930","409","11954","4650","180","25.73","World of Tanks"
"Monster Hunter World","30","Monster Hunter World","201746460","9366420","27282","523","43868","4525","210","21.54","Monster Hunter World"
"Magic: The Gathering","31","Magic: The Gathering","180573420","2034600","19451","260","3253","4050","45","88.75","Magic: The Gathering"
"Poker","32","Poker","177419820","2597940","17154","155","2567","3979","58","68.29","Poker"
"Darwin Project","33","Darwin Project","163402620","3309960","200629","311","9422","3665","74","49.37","Darwin Project"
"Call of Duty: WWII","34","Call of Duty: WWII","148285860","5141100","39134","258","48156","3326","115","28.84","Call of Duty: WWII"
"Z1 Battle Royale","35","Z1 Battle Royale","132224100","5789220","75573","362","16924","2965","129","22.84","Z1 Battle Royale"
"Bloodborne","36","Bloodborne","131783340","8223000","14171","476","29620","2956","184","16.03","Bloodborne"
"Street Fighter V","37","Street Fighter V","122761500","1767660","73042","76","4242","2753","39","69.45","Street Fighter V"
"Escape From Tarkov","38","Escape From Tarkov","121998480","6453720","15960","310","8643","2736","144","18.9","Escape From Tarkov"
"Dragon Ball FighterZ","39","Dragon Ball FighterZ","121701240","3592800","53093","286","14710","2729","80","33.87","Dragon Ball FighterZ"
"Smite","40","Smite","118281120","7287960","12101","293","14035","2653","163","16.23","Smite"
"Gwent: The Witcher Card Game","41","Gwent: The Witcher Card Game","114563040","1561140","46675","72","2470","2569","35","73.38","Gwent: The Witcher Card Game"
"Surviving Mars","42","Surviving Mars","111267300","2045340","36527","451","4219","2495","45","54.4","Surviving Mars"
"VRChat","43","VRChat","111262380","3938040","11783","201","5717","2495","88","28.25","VRChat"
"Rust","44","Rust","108168180","5107020","13336","288","8995","2426","114","21.18","Rust"
"Dungeons & Dragons","45","Dungeons & Dragons","105380160","2115960","47909","178","3219","2363","47","49.8","Dungeons & Dragons"
"ARK","46","ARK","101482500","7405140","12996","302","13761","2276","166","13.7","ARK"
"Dark Souls III","47","Dark Souls III","96559860","6211920","15677","240","17020","2165","139","15.54","Dark Souls III"
"Hokuto ga Gotoku","48","Hokuto ga Gotoku","93069780","394380","50661","103","397","2087","8","235.99","Hokuto ga Gotoku"
"Slay the Spire","49","Slay the Spire","92506920","2455380","9358","113","6672","2075","55","37.68","Slay the Spire"
"Tekken 7","50","Tekken 7","89989320","1845600","45219","131","6254","2018","41","48.76","Tekken 7"
"Destiny 2","51","Destiny 2","89010780","9481920","17524","775","20175","1996","212","9.39","Destiny 2"
"Friends Marble","52","Friends Marble","88111140","162600","40295","23","545","1976","3","541.89","Friends Marble"
"Golfing Over It with Alva Majo","53","Golfing Over It with Alva Majo","86012040","210480","69792","102","1363","1929","4","408.65","Golfing Over It with Alva Majo"
"Super Seducer","54","Super Seducer","83116140","354540","45059","49","1716","1864","7","234.43","Super Seducer"
"Lineage II","55","Lineage II","81173820","2744520","7753","149","2031","1820","61","29.58","Lineage II"
"Warcraft III","56","Warcraft III","79026240","1599240","30146","73","1834","1772","35","49.41","Warcraft III"
"The Elder Scrolls V: Skyrim","57","The Elder Scrolls V: Skyrim","78693900","4170540","13623","165","10761","1765","93","18.87","The Elder Scrolls V: Skyrim"
"Diablo III: Reaper of Souls","58","Diablo III: Reaper of Souls","72035340","7275660","5103","412","14469","1615","163","9.9","Diablo III: Reaper of Souls"
"Games + Demos","59","Games + Demos","71279520","1297620","21161","56","3856","1598","29","54.93","Games + Demos"
"Dungreed","60","Dungreed","71238780","742500","34086","78","2398","1597","16","95.94","Dungreed"
"The Elder Scrolls: Legends","61","The Elder Scrolls: Legends","65037420","810960","4134","36","793","1458","18","80.2","The Elder Scrolls: Legends"
"Kingdom Come: Deliverance","62","Kingdom Come: Deliverance","64578780","4001520","29622","327","8856","1448","89","16.14","Kingdom Come: Deliverance"
"Tom Clancy's The Division","63","Tom Clancy's The Division","63188340","6243480","10447","297","12240","1417","140","10.12","Tom Clancy's The Division"
"Final Fantasy XV","64","Final Fantasy XV","60495480","5527920","16369","692","12161","1357","124","10.94","Final Fantasy XV"
"Retro","65","Retro","60418200","3830160","7829","155","4307","1355","85","15.77","Retro"
"Subnautica","66","Subnautica","60294660","3001680","14824","163","6945","1352","67","20.09","Subnautica"
"Arma 3","67","Arma 3","59417040","4041840","16395","278","6954","1332","90","14.7","Arma 3"
"Warframe","68","Warframe","59002740","6292140","32493","253","13796","1323","141","9.38","Warframe"
"Battlerite","69","Battlerite","57842160","2213100","28200","128","7392","1297","49","26.14","Battlerite"
"Chess","70","Chess","57771480","679980","15126","36","882","1295","15","84.96","Chess"
"Ni no Kuni II: Revenant Kingdom","71","Ni no Kuni II: Revenant Kingdom","57513840","2437980","30369","528","6872","1290","54","23.59","Ni no Kuni II: Revenant Kingdom"
"Always On","72","Always On","55181160","617460","6109","15","20","1237","13","89.37","Always On"
"FINAL FANTASY XIV Online","73","FINAL FANTASY XIV Online","54864540","6596880","6121","523","9088","1230","147","8.32","FINAL FANTASY XIV Online"
"They Are Billions","74","They Are Billions","54792240","955740","12839","44","1977","1229","21","57.33","They Are Billions"
"Yakuza 0","75","Yakuza 0","51988260","425280","15887","29","914","1166","9","122.24","Yakuza 0"
"Clash Royale","76","Clash Royale","50870700","945660","19491","54","2608","1141","21","53.79","Clash Royale"
"Hunt: Showdown","77","Hunt: Showdown","50622000","3197160","13092","241","7633","1135","71","15.83","Hunt: Showdown"
"Pokémon Ultra Sun/Ultra Moon","78","Pokémon Ultra Sun/Ultra Moon","49026900","1589040","6228","81","1791","1099","35","30.85","Pokémon Ultra Sun/Ultra Moon"
"Into the Breach","79","Into the Breach","47187120","1205880","12904","151","3779","1058","27","39.13","Into the Breach"
"Super Smash Bros. Melee","80","Super Smash Bros. Melee","47169480","933000","33904","59","2457","1058","20","50.56","Super Smash Bros. Melee"
"Terraria","81","Terraria","44689920","1996980","19024","100","5404","1002","44","22.38","Terraria"
"Age of Empires II","82","Age of Empires II","44261220","826200","8032","47","1705","992","18","53.57","Age of Empires II"
"DayZ","83","DayZ","43706580","1842480","35848","97","2946","980","41","23.72","DayZ"
"The Legend of Zelda: Breath of the Wild","84","The Legend of Zelda: Breath of the Wild","43551600","2031540","8344","89","3439","976","45","21.44","The Legend of Zelda: Breath of the Wild"
"TrackMania² Stadium","85","TrackMania² Stadium","42929880","332280","27921","40","848","962","7","129.2","TrackMania² Stadium"
"Summoners War: Sky Arena","86","Summoners War: Sky Arena","42814500","1057860","5257","56","1226","960","23","40.47","Summoners War: Sky Arena"
"Super Mario Maker","87","Super Mario Maker","42446280","580920","7742","33","668","952","13","73.07","Super Mario Maker"
"Dark Souls","88","Dark Souls","39668880","1664760","10404","89","3960","889","37","23.83","Dark Souls"
"The Last of Us","89","The Last of Us","39457320","1369500","37803","68","4246","885","30","28.81","The Last of Us"
"NBA 2K18","90","NBA 2K18","38421000","6617340","8654","319","20468","861","148","5.81","NBA 2K18"
"osu!","91","osu!","38133420","6205440","14877","277","22513","855","139","6.15","osu!"
"World of Warships","92","World of Warships","37828800","2575920","9546","125","4734","848","57","14.69","World of Warships"
"Paladins","93","Paladins","36306660","4348680","19175","220","14634","814","97","8.35","Paladins"
"The Legend of Zelda: A Link to the Past","94","The Legend of Zelda: A Link to the Past","35910600","1806660","5825","135","1987","805","40","19.88","The Legend of Zelda: A Link to the Past"
"Arena of Valor","95","Arena of Valor","35547120","653580","8080","34","1005","797","14","54.39","Arena of Valor"
"Super Mario Odyssey","96","Super Mario Odyssey","35042280","966420","11716","52","2289","786","21","36.26","Super Mario Odyssey"
"Super Smash Bros. for Wii U","97","Super Smash Bros. for Wii U","34842540","1020240","19892","69","2000","781","22","34.15","Super Smash Bros. for Wii U"
"Tibia","98","Tibia","34337280","2231040","4301","106","2404","770","50","15.39","Tibia"
"Madden NFL 18","99","Madden NFL 18","33709140","6928500","24148","439","18538","756","155","4.87","Madden NFL 18"
"PixARK","100","PixARK","30999540","797280","37396","181","2158","695","17","38.88","PixARK"